PA,SZ,AGE7_12,AGE13_24,AGE25_64
ANG MO KIO,ANG MO KIO TOWN CENTRE,310,710,2780
ANG MO KIO,CHENG SAN,1140,2770,15700
ANG MO KIO,CHONG BOON,1010,2650,14240
ANG MO KIO,KEBUN BAHRU,1050,2390,12460
ANG MO KIO,SEMBAWANG HILLS,420,1120,3620
ANG MO KIO,SHANGRI-LA,810,1920,9650
ANG MO KIO,TAGORE,390,1150,4350
ANG MO KIO,TOWNSVILLE,980,2000,11320
ANG MO KIO,YIO CHU KANG,0,0,0
ANG MO KIO,YIO CHU KANG EAST,260,650,2500
ANG MO KIO,YIO CHU KANG NORTH,0,0,0
ANG MO KIO,YIO CHU KANG WEST,1190,3260,13350
BEDOK,BAYSHORE,600,1090,4510
BEDOK,BEDOK NORTH,3890,9710,46520
BEDOK,BEDOK RESERVOIR,1530,3460,14840
BEDOK,BEDOK SOUTH,2380,6000,26840
BEDOK,FRANKEL,2490,4380,19190
BEDOK,KAKI BUKIT,1540,4450,21160
BEDOK,KEMBANGAN,1630,4150,20570
BEDOK,SIGLAP,420,860,4020
BISHAN,BISHAN EAST,1360,3220,15850
BISHAN,MARYMOUNT,1610,4060,16860
BISHAN,UPPER THOMSON,1590,3660,15980
BOON LAY,LIU FANG,0,0,0
BOON LAY,SAMULUN,0,0,0
BOON LAY,SHIPYARD,0,0,0
BOON LAY,TUKANG,0,0,0
BUKIT BATOK,BRICKWORKS,1780,2490,16810
BUKIT BATOK,BUKIT BATOK CENTRAL,1480,3410,15770
BUKIT BATOK,BUKIT BATOK EAST,450,1470,7370
BUKIT BATOK,BUKIT BATOK SOUTH,860,2070,8930
BUKIT BATOK,BUKIT BATOK WEST,720,1880,8480
BUKIT BATOK,GOMBAK,620,1420,5730
BUKIT BATOK,GUILIN,720,1720,7600
BUKIT BATOK,HILLVIEW,1050,3220,11600
BUKIT BATOK,HONG KAH NORTH,1200,3420,15200
BUKIT MERAH,ALEXANDRA HILL,510,1580,7030
BUKIT MERAH,ALEXANDRA NORTH,250,310,1920
BUKIT MERAH,BUKIT HO SWEE,630,1250,7610
BUKIT MERAH,BUKIT MERAH,50,170,690
BUKIT MERAH,CITY TERMINALS,0,0,0
