r,obs,theo,lo,hi
0,0,0,0,0
42.83423809461899,348.0093418918537,42.83423809461899,28.908855651958557,54.94673258342195
85.66847618923798,523.6316616264887,85.66847618923798,66.07416794298099,95.3030624266793
128.50271428385696,676.9350362184513,128.50271428385696,114.1808310867026,147.44115151884338
171.33695237847596,827.6151088488456,171.33695237847596,158.71055741181186,187.4540671449226
214.17119047309495,968.5886453053982,214.17119047309495,197.63767920633055,225.82832997043351
257.0054285677139,1097.1696910677406,257.0054285677139,242.4787439057116,267.74473759246445
299.83966666233295,1218.4044430406516,299.83966666233295,283.7992838848299,309.93382008651093
342.6739047569519,1338.1127165926644,342.6739047569519,326.4341068011849,353.8339351174896
385.5081428515709,1450.764495289709,385.5081428515709,374.01187365920504,393.7739967669634
428.3423809461899,1565.7640227886864,428.3423809461899,414.6503055403813,437.35971753690563
471.1766190408089,1681.6009093924522,471.1766190408089,455.2983604154178,477.4635524880474
514.0108571354278,1790.3525124074383,514.0108571354278,502.90572935099,522.7613509866102
556.8450952300468,1891.6312595780514,556.8450952300468,544.8750307217451,565.41406872483
599.6793333246659,1994.846978747235,599.6793333246659,586.0570318261474,608.1227639083107
642.5135714192849,2089.3038625060753,642.5135714192849,628.1050756980839,652.4420939025488
685.3478095139038,2184.7941879646437,685.3478095139038,674.1805662477705,695.2497697064755
728.1820476085228,2277.3025177139316,728.1820476085228,715.7769232800723,736.6548510947545
771.0162857031418,2370.945527545128,771.0162857031418,756.5696829002076,780.2432501536259
813.8505237977608,2456.440276965708,813.8505237977608,799.4651265939945,824.298232263389
856.6847618923798,2540.4952808579387,856.6847618923798,839.8774851942239,865.2616238692757
899.5189999869988,2622.0744126691898,899.5189999869988,882.0649841160803,909.0470153964758
942.3532380816177,2705.867068716487,942.3532380816177,925.5519019418138,953.4096621622809
985.1874761762367,2785.5238138583295,985.1874761762367,970.172247617732,992.8595952872166
1028.0217142708557,2861.433763347899,1028.0217142708557,1013.6288774598466,1037.715588079405
1070.8559523654746,2934.8913223460677,1070.8559523654746,1056.4543529821447,1080.5898645505504
1113.6901904600936,3022.7087701296,1113.6901904600936,1101.6431804467886,1122.807174204697
1156.5244285547128,3096.0030537330313,1156.5244285547128,1146.3059239408349,1165.1095004722947
1199.3586666493318,3165.14170561956,1199.3586666493318,1187.6972471734584,1206.117375773669
1242.1929047439507,3235.1456289943744,1242.1929047439507,1231.3343382218538,1249.758682795922
1285.0271428385697,3306.9844616048695,1285.0271428385697,1274.052128461603,1294.2198238346352
1327.8613809331887,3376.5124129883666,1327.8613809331885,1317.22160280637,1336.0533721478075
1370.6956190278077,3442.7397583192633,1370.6956190278077,1359.1747526826193,1379.8498062095734
1413.5298571224266,3508.921199431816,1413.5298571224266,1400.56758586772,1423.5681294691542
1456.3640952170456,3573.790817976603,1456.3640952170456,1443.739241340541,1465.8890549091536
1499.1983333116646,3634.856110810948,1499.1983333116646,1486.35495136661,1509.8107341393522
1542.0325714062835,3698.8274824280697,1542.0325714062835,1529.866885999382,1553.4108311661662
1584.8668095009025,3766.173737935295,1584.8668095009025,1572.300001863285,1595.530943927026
1627.7010475955217,3826.5486503181887,1627.7010475955217,1614.6738403750858,1638.6982636612183
1670.5352856901407,3883.680733359226,1670.5352856901407,1655.2692266528263,1680.230786535291
1713.3695237847596,3940.0674582711117,1713.3695237847596,1700.079515911636,1723.1002501671196
1756.2037618793786,3994.9814967115153,1756.2037618793784,1742.3601522895206,1764.335194307868
1799.0379999739976,4053.836709399761,1799.0379999739976,1785.4649518491515,1809.6586839397303
1841.8722380686165,4109.235504210467,1841.8722380686165,1828.107017019934,1850.9121355959305
1884.7064761632355,4165.520254013422,1884.7064761632355,1872.6918018640092,1894.4124208066369
1927.5407142578545,4220.453493681432,1927.5407142578545,1914.3263166247639,1938.627290877018
1970.3749523524734,4271.950235014017,1970.3749523524734,1955.923984978689,1980.7220304648863
2013.2091904470924,4322.846152508487,2013.2091904470924,1999.8816005845174,2023.3902217619482
2056.0434285417114,4374.690754728514,2056.0434285417114,2041.9311514074247,2066.0111362490625
2098.8776666363306,4426.5125570241635,2098.8776666363306,2082.7818633270604,2107.86756177321
2141.7119047309493,4476.973144812251,2141.7119047309493,2125.9743030206723,2150.006294265277
2184.5461428255685,4526.605254061368,2184.5461428255685,2168.447796618897,2192.9108002522285
2227.3803809201872,4580.953421856901,2227.3803809201872,2213.4595405054956,2234.687996779721
2270.2146190148064,4631.244110367498,2270.2146190148064,2256.7423399635513,2277.1439286766
2313.0488571094256,4680.0872860599175,2313.0488571094256,2299.7846108556814,2321.0478530235173
2355.8830952040444,4727.400071445514,2355.8830952040444,2342.077564921936,2364.6737789302574
2398.7173332986636,4773.978900950485,2398.7173332986636,2386.1806206203137,2407.0712103328074
2441.5515713932823,4819.515020768329,2441.5515713932823,2428.2075368256965,2449.6235214536796
2484.3858094879015,4874.7903413005,2484.3858094879015,2472.6255582588683,2493.667600552797
2527.2200475825202,4919.651145688295,2527.2200475825202,2516.372995066726,2536.0187871292915
2570.0542856771394,4964.328523645156,2570.0542856771394,2559.6427076810396,2579.0044193147314
2612.888523771758,5009.578414706761,2612.888523771758,2603.0377601428027,2621.0980613282914
2655.7227618663774,5054.40686177903,2655.722761866377,2644.955716349666,2664.9005073370113
2698.556999960996,5099.658116732379,2698.556999960996,2686.955300375867,2707.8790300325986
2741.3912380556153,5142.7824028547475,2741.3912380556153,2729.4868914382987,2752.2809758136723
2784.2254761502345,5186.066556258597,2784.2254761502345,2772.0591842420317,2796.6303150245712
